,,Pollster Characteristics (as of Aug. 2014),,,,,,Key Ratings,,,,,Basic Stats,,,,,,Advanced Stats,,,,Bias Analysis,,,
139,Clarus Research Group,3,no,yes,no,no,,+0.8,+0.4,B-,D +0.5,,100%,33%,6.8,5.4,+1.4,,+0.8,+0.1,+0.4,,2,D +8.1,D +0.5,D +2.2
140,Virginia Commonwealth University,5,no,yes,no,no,,+0.8,+0.4,B-,R +0.3,,100%,20%,4.9,4.9,+0.0,,+0.8,+0.1,+0.4,,5,R +1.9,R +0.3,R +1.7
141,Benenson Strategy Group,9,no,yes,no,no,,+0.6,+0.4,B-,D +0.7,,50%,11%,6.2,6.0,+0.2,,+0.6,+0.1,+0.4,,9,D +2.8,D +0.7,D +7.6
142,Southern Media & Opinion Research,4,no,yes,no,no,,+0.9,+0.4,B-,D +0.0,,100%,25%,6.4,5.5,+1.0,,+0.9,+0.1,+0.4,,2,D +0.1,D +0.0,D +1.9
143,Middle Tennessee State University,4,no,yes,no,no,,+0.9,+0.4,B-,D +0.1,,100%,25%,8.0,6.3,+1.7,,+0.9,+0.1,+0.4,,3,D +1.3,D +0.1,R +5.0
144,Capital Survey Research Center,11,no,no,no,no,,-1.0,+0.4,B-,D +0.1,,36%,36%,7.8,7.0,+0.7,,-1.0,-0.3,+0.4,,4,D +0.6,D +0.1,D +1.1
145,Val Smith,1,no,yes,no,no,,+2.0,+0.4,B-,R +0.3,,100%,0%,8.5,6.2,+2.3,,+2.0,+0.1,+0.4,,1,R +8.5,R +0.3,R +15.0
146,Hoffman Research Group,1,no,yes,no,no,,+2.2,+0.4,B-,R +0.2,,100%,0%,7.1,4.2,+2.9,,+2.2,+0.1,+0.4,,1,R +7.1,R +0.2,R +0.4
147,Potomac Incorporated,8,no,no,no,no,,-1.4,+0.4,B-,R +0.5,,88%,13%,4.5,6.0,-1.4,,-1.4,-0.3,+0.4,,6,R +3.1,R +0.5,D +1.3
148,Harper Polling,9,no,no,no,no,,-1.1,+0.4,B-,D +0.3,,100%,11%,4.1,6.1,-1.9,,-1.1,-0.3,+0.4,,5,D +1.8,D +0.3,R +0.8
149,Crawford Johnson & Northcott Inc.,5,no,no,no,no,,-3.0,+0.4,B-,D +0.1,,100%,20%,4.6,7.7,-3.0,,-3.0,-0.4,+0.4,,1,D +3.3,D +0.1,
150,"Fairbank, Maslin, Maullin, Metz & Associates",7,no,yes,no,no,,+0.9,+0.4,B-,D +1.0,,79%,29%,5.9,5.7,+0.2,,+0.9,+0.2,+0.4,,7,D +5.5,D +1.0,D +6.9
151,OpinionWorks,6,no,yes,no,no,,+1.0,+0.4,B-,R +0.5,,92%,50%,7.3,5.3,+2.0,,+1.0,+0.2,+0.4,,6,R +3.0,R +0.5,D +3.7
152,Rutgers University,13,yes,yes,no,no,,+2.1,+0.4,B-,D +0.1,,85%,15%,5.7,5.1,+0.6,,+2.1,+0.6,+0.4,,13,D +0.3,D +0.1,D +1.3
153,Feldman Group,1,no,yes,no,no,,+3.7,+0.4,B-,D +0.3,,0%,100%,10.8,5.9,+4.9,,+3.7,+0.1,+0.4,,1,D +10.8,D +0.3,
154,"Schroth, Eldon & Associates",8,no,no,no,no,,-1.1,+0.4,B-,D +0.6,,88%,0%,3.2,5.5,-2.4,,-1.1,-0.2,+0.4,,6,D +3.4,D +0.6,D +1.4
155,Overtime Politics,12,no,yes,no,yes,,+0.8,+0.4,F,,,67%,42%,9.8,8.4,+1.5,,+0.8,+0.2,+0.4,,0,,,
156,"North Star Opinion Research/Ayres, McHenry & Associates",2,no,yes,no,no,,+2.6,+0.5,B-,R +0.4,,50%,0%,7.0,5.4,+1.6,,+2.6,+0.2,+0.5,,2,R +7.0,R +0.4,R +7.0
157,"International Communications Research, Inc.",5,no,no,no,no,,-1.6,+0.5,B-,R +0.1,,20%,20%,3.1,3.9,-0.8,,-1.6,-0.2,+0.5,,5,R +0.5,R +0.1,D +1.1
158,Wilson Research Strategies,10,no,yes,no,no,,+1.0,+0.5,B-,R +0.1,,65%,20%,6.9,5.9,+1.1,,+1.0,+0.2,+0.5,,9,R +0.5,R +0.1,R +2.8
159,University of Texas,4,no,no,yes,no,,-5.0,+0.5,B-,D +0.1,,100%,0%,1.2,5.2,-4.0,,-5.0,-0.6,+0.5,,4,D +1.1,D +0.1,D +2.8
160,Orion Strategies,4,no,no,no,no,,-3.6,+0.5,B-,D +0.1,,100%,0%,3.1,6.2,-3.1,,-3.6,-0.4,+0.5,,3,D +1.3,D +0.1,D +6.3
161,Alabama State University,4,no,no,no,no,,-3.4,+0.5,B-,,,50%,0%,6.4,8.4,-2.0,,-3.4,-0.4,+0.5,,0,,,
162,Northern Arizona University,4,no,no,no,no,,-3.3,+0.5,B-,R +0.4,,100%,25%,3.6,5.7,-2.1,,-3.3,-0.4,+0.5,,4,R +3.3,R +0.4,R +5.1
163,Marshall Marketing & Communications,4,no,no,no,no,,-2.2,+0.5,B-,R +0.2,,100%,0%,2.8,6.0,-3.2,,-2.2,-0.3,+0.5,,3,R +2.2,R +0.2,R +0.5
164,IVR Polls,4,no,no,no,no,,-2.2,+0.5,B-,,,100%,25%,4.0,7.9,-3.8,,-2.2,-0.3,+0.5,,0,,,
165,"Gonzales Research & Marketing Strategies, Inc.",9,no,yes,no,no,,+1.0,+0.5,B-,R +0.4,,78%,22%,6.4,5.9,+0.5,,+1.0,+0.2,+0.5,,8,R +2.1,R +0.4,R +1.4
166,SocialSphere,2,no,yes,no,no,,+2.9,+0.5,B-,R +0.4,,100%,0%,6.1,5.3,+0.8,,+2.9,+0.2,+0.5,,2,R +6.1,R +0.4,R +6.4
167,Howey Politics/DePauw University,7,no,yes,no,no,,+1.2,+0.5,B-,D +0.1,,57%,29%,6.8,5.3,+1.5,,+1.2,+0.2,+0.5,,6,D +0.6,D +0.1,D +1.5
168,OnPoint,4,no,no,no,no,,-1.9,+0.5,B-,D +0.2,,100%,0%,1.7,4.7,-3.0,,-1.9,-0.2,+0.5,,4,D +1.6,D +0.2,D +2.3
169,Scripps Howard,4,no,no,no,no,,-1.9,+0.5,B-,R +0.1,,100%,25%,3.8,4.7,-0.9,,-1.9,-0.2,+0.5,,4,R +0.6,R +0.1,R +2.3
170,Loras College,10,no,yes,no,no,,+1.0,+0.5,B-,D +1.1,,70%,30%,9.7,7.0,+2.7,,+1.0,+0.3,+0.5,,6,D +6.4,D +1.1,R +2.9
171,KRC/Communications Research,22,no,no,no,no,,-0.2,+0.5,B-,D +0.2,,91%,27%,6.9,6.9,+0.0,,-0.2,-0.1,+0.5,,11,D +0.7,D +0.2,D +2.4
172,"Richard Day Research, Inc.",11,no,no,no,no,,-0.6,+0.5,B-,R +0.8,,100%,27%,5.5,5.3,+0.2,,-0.6,-0.2,+0.5,,11,R +2.9,R +0.8,R +1.0
173,"Frank N. Magid Associates, Inc.",4,no,no,no,no,,-1.8,+0.5,B-,D +0.5,,100%,25%,4.6,5.6,-0.9,,-1.8,-0.2,+0.5,,4,D +4.6,D +0.5,R +0.9
174,Franklin Pierce University,21,no,yes,no,no,,+0.8,+0.5,B-,D +1.3,,83%,33%,6.6,6.3,+0.4,,+0.8,+0.3,+0.5,,12,D +4.5,D +1.3,D +5.1
175,Penn Schoen Berland,18,yes,no,yes,no,,+0.9,+0.5,B-,D +2.5,,67%,39%,7.6,6.3,+1.3,,+0.9,+0.3,+0.5,,18,D +6.7,D +2.5,D +0.4
176,US News & World Report,3,no,no,no,no,,-4.7,+0.5,B-,R +0.1,,100%,0%,1.9,4.9,-3.0,,-4.7,-0.4,+0.5,,3,R +0.8,R +0.1,D +1.2
177,Iowa State University,3,no,no,no,no,,-3.5,+0.5,B-,,,67%,33%,6.3,9.0,-2.7,,-3.5,-0.3,+0.5,,0,,,
178,RAND (American Life Panel),3,no,no,yes,no,,-3.4,+0.5,B-,R +0.0,,100%,0%,1.2,2.8,-1.5,,-3.4,-0.3,+0.5,,3,R +0.4,R +0.0,D +3.2
179,MSR Group,3,no,no,no,no,,-2.8,+0.5,B-,D +0.3,,100%,0%,3.5,6.0,-2.5,,-2.8,-0.3,+0.5,,3,D +3.5,D +0.3,D +1.3
180,Personal Marketing Research,3,no,no,no,no,,-2.2,+0.5,B-,,,67%,33%,6.2,8.4,-2.2,,-2.2,-0.2,+0.5,,0,,,
181,Gravis Marketing,55,no,no,no,no,,+0.0,+0.5,B-,R +1.1,,79%,31%,5.8,6.0,-0.2,,+0.0,+0.0,+0.5,,29,R +2.2,R +1.1,R +2.1
182,Lauer Johnson Research,1,no,yes,no,no,,+7.2,+0.5,B-,D +0.4,,0%,100%,13.8,6.1,+7.8,,+7.2,+0.2,+0.5,,1,D +13.8,D +0.4,D +17.0
183,University of Illinois at Chicago,1,yes,no,no,no,,+7.2,+0.5,B-,R +0.5,,100%,100%,14.1,5.7,+8.4,,+7.2,+0.2,+0.5,,1,R +14.1,R +0.5,R +5.1
184,"Political Marketing International, Inc./Red Racing Horses",4,no,no,no,no,,-1.2,+0.6,B-,D +0.1,,63%,25%,4.3,5.8,-1.5,,-1.2,-0.1,+0.6,,4,D +1.1,D +0.1,R +3.1
185,Purple Strategies,4,no,no,yes,no,,-1.2,+0.6,B-,R +0.4,,88%,0%,3.0,3.9,-0.9,,-1.2,-0.1,+0.6,,4,R +3.0,R +0.4,R +0.0
186,Research 2000,279,no,no,no,yes,,+0.2,+0.6,F,D +1.4,,88%,18%,5.5,5.5,+0.1,,+0.2,+0.1,+0.6,,247,D +1.6,D +1.4,D +1.2
187,"Baselice & Associates, Inc.",2,no,yes,no,no,,+4.3,+0.6,C+,D +0.2,,100%,50%,10.0,5.9,+4.1,,+4.3,+0.3,+0.6,,1,D +7.0,D +0.2,
188,Marketing Resource Group (MRG),6,no,yes,no,no,,+1.9,+0.6,C+,R +0.3,,17%,67%,11.0,7.2,+3.9,,+1.9,+0.3,+0.6,,3,R +3.0,R +0.3,R +1.1
189,University of Wisconsin Milwaukee,3,no,no,no,no,,-1.5,+0.6,C+,R +0.5,,100%,33%,5.3,6.2,-0.9,,-1.5,-0.1,+0.6,,3,R +5.3,R +0.5,R +2.1
190,Braun Research,3,no,yes,no,no,,+3.3,+0.6,C+,D +0.8,,100%,67%,9.1,5.4,+3.7,,+3.3,+0.3,+0.6,,3,D +9.1,D +0.8,D +8.7
191,Market Solutions Group,4,no,no,no,no,,-1.0,+0.6,C+,R +0.0,,100%,0%,4.3,6.1,-1.8,,-1.0,-0.1,+0.6,,2,R +0.1,R +0.0,D +1.8
192,CVOTER International,3,no,no,yes,no,,-1.3,+0.6,C+,R +0.3,,100%,0%,2.9,2.9,+0.0,,-1.3,-0.1,+0.6,,3,R +2.9,R +0.3,D +0.7
193,M4 Strategies,2,no,no,yes,no,,-6.2,+0.6,C+,R +0.2,,100%,50%,3.1,3.9,-0.8,,-6.2,-0.4,+0.6,,2,R +3.1,R +0.2,D +4.8
194,Louis Harris & Associates,2,no,no,no,no,,-4.5,+0.6,C+,D +0.1,,100%,0%,0.9,4.8,-3.8,,-4.5,-0.3,+0.6,,2,D +0.9,D +0.1,D +4.6
195,Master Image,2,no,no,no,no,,-4.1,+0.6,C+,,,100%,0%,1.2,7.8,-6.6,,-4.1,-0.3,+0.6,,0,,,
196,Douglas Fulmer & Associates,2,no,no,no,no,,-2.9,+0.6,C+,,,100%,50%,5.1,8.2,-3.1,,-2.9,-0.2,+0.6,,0,,,
197,Forward Strategies,2,no,no,no,no,,-2.7,+0.6,C+,D +0.1,,100%,0%,1.3,4.8,-3.4,,-2.7,-0.2,+0.6,,2,D +1.3,D +0.1,D +3.4
198,Lincoln Institute,2,no,no,no,no,,-2.7,+0.6,C+,R +0.3,,75%,0%,4.1,5.1,-1.0,,-2.7,-0.2,+0.6,,2,R +4.1,R +0.3,D +2.5
199,Crosswind Media & Public Relations,2,no,no,no,no,,-2.0,+0.6,C+,,,100%,0%,6.5,8.1,-1.6,,-2.0,-0.1,+0.6,,0,,,
200,Texas Credit Union League,2,no,no,no,no,,-1.9,+0.6,C+,,,100%,0%,7.0,8.8,-1.8,,-1.9,-0.1,+0.6,,0,,,
201,Wirthlin Worldwide,4,no,no,no,no,,-0.8,+0.6,C+,R +0.5,,75%,25%,4.6,5.8,-1.2,,-0.8,-0.1,+0.6,,4,R +3.9,R +0.5,R +4.9
202,"Talmey-Drake Research & Strategy, Inc.",9,no,yes,no,no,,+1.6,+0.6,C+,R +0.4,,50%,44%,7.7,5.5,+2.2,,+1.6,+0.4,+0.6,,9,R +1.8,R +0.4,D +2.7
203,Dixie Strategies,3,no,no,no,no,,-0.9,+0.6,C+,,,83%,67%,7.9,7.8,+0.1,,-0.9,-0.1,+0.6,,0,,,
204,Manhattanville College,3,no,no,no,no,,-0.9,+0.6,C+,R +0.5,,100%,33%,6.5,6.4,+0.2,,-0.9,-0.1,+0.6,,2,R +8.2,R +0.5,D +0.2
205,Midwest Survey and Research,3,no,no,no,no,,-0.9,+0.6,C+,R +0.1,,100%,33%,7.3,5.9,+1.4,,-0.9,-0.1,+0.6,,3,R +1.0,R +0.1,
206,Florida Atlantic University,2,no,no,no,no,,-1.3,+0.6,C+,,,100%,0%,3.7,7.9,-4.2,,-1.3,-0.1,+0.6,,0,,,
207,Hendrix College,9,no,no,no,no,,-0.0,+0.6,C+,D +1.5,,89%,44%,6.7,6.0,+0.7,,-0.0,-0.0,+0.6,,9,D +6.7,D +1.5,R +0.3
208,StPetePolls.org,2,no,no,no,no,,-1.0,+0.7,C+,D +0.1,,25%,0%,2.0,5.1,-3.1,,-1.0,-0.1,+0.7,,2,D +2.0,D +0.1,D +0.3
209,Canisius College,1,no,no,no,no,,-5.8,+0.7,C+,,,100%,0%,0.1,8.5,-8.4,,-5.8,-0.2,+0.7,,0,,,
210,University of Tennessee,1,no,no,no,no,,-5.6,+0.7,C+,R +0.1,,100%,0%,2.7,4.6,-1.8,,-5.6,-0.2,+0.7,,1,R +2.7,R +0.1,R +5.4
211,Market Strategies International,1,no,no,no,no,,-5.6,+0.7,C+,R +0.0,,100%,0%,1.1,5.6,-4.5,,-5.6,-0.2,+0.7,,1,R +1.1,R +0.0,R +5.7
212,RMS Research,1,no,no,no,no,,-5.4,+0.7,C+,R +0.0,,100%,0%,0.9,6.5,-5.6,,-5.4,-0.2,+0.7,,1,R +0.9,R +0.0,
213,"Dynamic Marketing, Inc.",1,no,no,no,no,,-4.1,+0.7,C+,D +0.1,,100%,0%,3.0,6.3,-3.3,,-4.1,-0.1,+0.7,,1,D +3.0,D +0.1,R +7.5
214,Cranford & Associates,1,no,no,yes,no,,-3.9,+0.7,C+,D +0.1,,100%,0%,2.5,5.4,-2.9,,-3.9,-0.1,+0.7,,1,D +2.5,D +0.1,D +9.5
215,Wood Communications Group,1,no,no,no,no,,-3.8,+0.7,C+,D +0.0,,100%,0%,0.8,5.6,-4.7,,-3.8,-0.1,+0.7,,1,D +0.8,D +0.0,D +3.0
216,"Lauer Lalley Victoria, Inc.",1,no,no,no,no,,-3.6,+0.7,C+,R +0.1,,100%,0%,1.7,6.5,-4.7,,-3.6,-0.1,+0.7,,1,R +1.7,R +0.1,D +4.0
217,BIGresearch,1,no,no,yes,no,,-3.6,+0.7,C+,,,100%,0%,2.0,4.2,-2.2,,-3.6,-0.1,+0.7,,0,,,
218,Cooper & Secrest,1,no,no,no,no,,-3.5,+0.7,C+,R +0.1,,0%,0%,2.6,6.3,-3.7,,-3.5,-0.1,+0.7,,1,R +2.6,R +0.1,
219,"Central Surveys, Inc.",1,no,no,no,no,,-3.3,+0.7,C+,D +0.1,,0%,0%,1.7,4.7,-3.0,,-3.3,-0.1,+0.7,,1,D +1.7,D +0.1,D +2.3
220,University of North Carolina,1,no,no,no,no,,-3.0,+0.7,C+,D +0.1,,100%,0%,1.6,5.2,-3.6,,-3.0,-0.1,+0.7,,1,D +1.6,D +0.1,R +1.3
221,Multi-Quest International,1,no,no,no,no,,-3.0,+0.7,C+,,,0%,0%,4.1,5.7,-1.6,,-3.0,-0.1,+0.7,,0,,,
222,MBQF,1,no,no,no,no,,-2.9,+0.7,C+,,,100%,0%,4.3,8.1,-3.8,,-2.9,-0.1,+0.7,,0,,,
223,Multi Quest International Inc,1,no,no,no,no,,-2.8,+0.7,C+,D +0.1,,100%,0%,1.9,4.6,-2.7,,-2.8,-0.1,+0.7,,1,D +1.9,D +0.1,D +0.7
224,Aspen Media & Market Research,1,no,no,no,no,,-2.7,+0.7,C+,R +0.1,,100%,0%,3.5,6.0,-2.5,,-2.7,-0.1,+0.7,,1,R +3.5,R +0.1,
225,New Mexico State University,1,no,no,no,no,,-2.5,+0.7,C+,,,0%,0%,6.8,9.2,-2.4,,-2.5,-0.1,+0.7,,0,,,
226,Red Sea Communications,1,no,no,no,no,,-2.4,+0.7,C+,R +0.1,,100%,0%,4.4,6.6,-2.2,,-2.4,-0.1,+0.7,,1,R +4.4,R +0.1,
227,Winston Group,1,no,no,no,no,,-2.4,+0.7,C+,D +0.2,,100%,0%,6.3,6.5,-0.1,,-2.4,-0.1,+0.7,,1,D +6.3,D +0.2,R +8.0
228,Diamond State Consulting Group,1,no,no,no,no,,-2.2,+0.7,C+,D +0.1,,100%,0%,4.2,5.6,-1.4,,-2.2,-0.1,+0.7,,1,D +4.2,D +0.1,R +5.5
229,Neighborhood Research Corporation,1,no,no,no,no,,-2.1,+0.7,C+,R +0.1,,100%,0%,3.4,5.7,-2.3,,-2.1,-0.1,+0.7,,1,R +3.4,R +0.1,R +7.2
230,Diversified Research Inc,1,no,no,no,no,,-2.0,+0.7,C+,R +0.2,,100%,0%,5.0,6.9,-1.9,,-2.0,-0.1,+0.7,,1,R +5.0,R +0.2,
231,Jim Meader (KELOLAND-TV),4,no,no,no,no,,-0.3,+0.7,C+,D +0.5,,100%,0%,4.6,5.4,-0.8,,-0.3,-0.0,+0.7,,4,D +4.6,D +0.5,D +4.4
232,Rivercity Polling,1,no,no,no,no,,-1.7,+0.7,C+,R +0.2,,100%,0%,6.7,7.0,-0.3,,-1.7,-0.1,+0.7,,1,R +6.7,R +0.2,R +11.5
233,War Room Logistics,1,no,no,no,no,,-1.6,+0.7,C+,,,100%,0%,4.5,7.4,-2.9,,-1.6,-0.1,+0.7,,0,,,
234,Constituent Dynamics,7,no,no,no,no,,+0.0,+0.7,C+,R +0.0,,86%,57%,7.4,7.4,+0.0,,+0.0,+0.0,+0.7,,1,R +1.3,R +0.0,D +2.3
235,Forman Center,1,no,no,no,no,,-1.2,+0.7,C+,D +0.1,,100%,0%,2.6,5.4,-2.8,,-1.2,-0.0,+0.7,,1,D +2.6,D +0.1,D +4.3
236,Triumph Campaigns,1,no,no,no,no,,-1.2,+0.7,C+,R +0.1,,100%,0%,4.2,4.8,-0.6,,-1.2,-0.0,+0.7,,1,R +4.2,R +0.1,R +5.0
237,OnMessage Inc.,6,no,yes,no,no,,+2.7,+0.7,C+,R +1.1,,67%,33%,9.1,6.1,+3.1,,+2.7,+0.4,+0.7,,6,R +6.6,R +1.1,R +3.6
238,Iona College,1,no,no,no,no,,-1.1,+0.7,C+,D +0.1,,100%,0%,4.4,5.8,-1.3,,-1.1,-0.0,+0.7,,1,D +4.4,D +0.1,R +1.7
239,Analytical Group,1,no,no,no,no,,-1.1,+0.7,C+,D +0.1,,100%,0%,4.0,5.2,-1.2,,-1.1,-0.0,+0.7,,1,D +4.0,D +0.1,D +3.0
240,Arizona State University,8,no,yes,no,no,,+2.2,+0.7,C+,D +0.9,,100%,50%,8.0,5.8,+2.2,,+2.2,+0.5,+0.7,,6,D +5.5,D +0.9,D +6.5
241,McCulloch Research & Polling,3,no,no,no,no,,-0.1,+0.7,C+,R +0.3,,67%,33%,4.9,4.2,+0.8,,-0.1,-0.0,+0.7,,3,R +2.9,R +0.3,R +2.4
242,Rhode Island College,5,no,no,no,no,,+0.0,+0.7,C+,R +0.2,,100%,20%,6.1,6.0,+0.1,,+0.0,+0.0,+0.7,,4,R +1.5,R +0.2,R +0.8
243,NRECA Market Research,1,no,no,no,no,,-1.0,+0.7,C+,D +0.2,,100%,0%,6.3,5.7,+0.6,,-1.0,-0.0,+0.7,,1,D +6.3,D +0.2,
244,Wick Communications,1,no,no,no,no,,-0.8,+0.7,C+,D +0.1,,100%,0%,2.8,6.1,-3.3,,-0.8,-0.0,+0.7,,1,D +2.8,D +0.1,D +4.0
245,West Chester University,7,no,no,no,no,,+0.2,+0.7,C+,D +0.2,,100%,14%,5.2,5.1,+0.1,,+0.2,+0.0,+0.7,,7,D +1.0,D +0.2,D +2.3
246,Ohio State University,1,no,no,no,no,,-0.7,+0.7,C+,R +0.1,,100%,0%,3.7,4.6,-1.0,,-0.7,-0.0,+0.7,,1,R +3.7,R +0.1,R +7.3
247,Gordon S. Black Corp.,2,no,no,no,no,,-0.1,+0.7,C+,R +0.4,,100%,50%,6.3,5.1,+1.2,,-0.1,-0.0,+0.7,,2,R +6.3,R +0.4,R +1.7
248,Market Trends Pacific,1,no,no,no,no,,-0.5,+0.7,C+,D +0.1,,50%,0%,4.6,5.5,-0.9,,-0.5,-0.0,+0.7,,1,D +4.6,D +0.1,D +2.5
249,Y2 Analytics,1,no,yes,no,no,,+12.6,+0.7,C+,,,100%,100%,28.4,8.0,+20.4,,+12.6,+0.4,+0.7,,0,,,
250,Western Kentucky University,3,no,yes,no,no,,+4.8,+0.7,C+,D +0.8,,67%,100%,13.7,6.3,+7.4,,+4.8,+0.4,+0.7,,2,D +12.7,D +0.8,D +2.6
251,ASA Marketing Group,1,no,no,no,no,,-0.4,+0.7,C+,D +0.2,,100%,0%,5.5,5.2,+0.3,,-0.4,-0.0,+0.7,,1,D +5.5,D +0.2,
252,RABA Research,1,no,no,no,no,,-0.4,+0.7,C+,,,100%,0%,3.8,7.9,-4.1,,-0.4,-0.0,+0.7,,0,,,
253,Rice University,2,no,no,no,no,,+0.1,+0.7,C+,D +0.4,,100%,0%,5.9,5.1,+0.8,,+0.1,+0.0,+0.7,,2,D +5.9,D +0.4,D +0.6
254,St. Cloud State University,9,no,yes,no,no,,+2.2,+0.7,C+,D +0.4,,67%,44%,6.5,5.4,+1.1,,+2.2,+0.5,+0.7,,9,D +1.9,D +0.4,D +1.2
255,"Wiese Research Associates, Inc.",7,no,yes,no,no,,+2.6,+0.7,C+,D +1.3,,100%,57%,8.8,6.0,+2.9,,+2.6,+0.5,+0.7,,7,D +6.9,D +1.3,D +4.4
256,University of Iowa,3,no,yes,no,no,,+5.0,+0.7,C+,R +0.2,,67%,33%,15.9,7.2,+8.7,,+5.0,+0.5,+0.7,,1,R +6.6,R +0.2,R +2.8
257,Saint Leo University,1,no,no,no,no,,+0.2,+0.7,C+,D +0.1,,0%,0%,4.1,5.8,-1.7,,+0.2,+0.0,+0.7,,1,D +4.1,D +0.1,D +2.3
258,Hellenthal & Associates,5,no,yes,no,no,,+3.4,+0.7,C+,D +0.4,,40%,40%,8.2,6.1,+2.0,,+3.4,+0.5,+0.7,,3,D +4.4,D +0.4,D +2.5
259,Hays Research Group,7,no,yes,no,no,,+2.6,+0.7,C+,D +1.1,,71%,29%,7.7,5.2,+2.5,,+2.6,+0.5,+0.7,,3,D +11.9,D +1.1,D +2.7
260,American Research Group,260,no,yes,no,no,,+0.6,+0.7,C+,R +0.1,,75%,34%,7.6,6.9,+0.7,,+0.6,+0.6,+0.7,,76,R +0.2,R +0.1,R +1.7
261,Cromer Group,1,no,no,no,no,,+0.4,+0.7,C+,R +0.1,,100%,0%,3.9,5.5,-1.6,,+0.4,+0.0,+0.7,,1,R +3.9,R +0.1,R +3.8
262,Liberty Opinion Research,1,no,no,no,no,,+0.5,+0.7,C+,,,100%,100%,5.7,7.6,-1.8,,+0.5,+0.0,+0.7,,0,,,
263,Strategic Services,1,no,no,no,no,,+0.5,+0.7,C+,D +0.2,,0%,0%,5.5,5.9,-0.4,,+0.5,+0.0,+0.7,,1,D +5.5,D +0.2,D +2.0
264,Rasmussen Reports/Pulse Opinion Research,657,no,no,no,no,,+0.4,+0.7,C+,R +2.0,,79%,25%,5.3,5.3,-0.0,,+0.4,+0.4,+0.7,,516,R +2.1,R +2.0,R +1.4
265,Rossman Group,1,no,no,no,no,,+0.6,+0.7,C+,D +0.1,,100%,0%,4.2,5.9,-1.7,,+0.6,+0.0,+0.7,,1,D +4.2,D +0.1,D +4.7
266,MarblePort,2,no,no,no,no,,+0.5,+0.8,C+,R +0.2,,100%,0%,5.6,4.4,+1.2,,+0.5,+0.0,+0.8,,1,R +6.2,R +0.2,R +7.2
267,University of South Florida,1,no,no,no,no,,+0.8,+0.8,C+,R +0.1,,100%,0%,3.9,4.9,-1.1,,+0.8,+0.0,+0.8,,1,R +3.9,R +0.1,R +5.1
268,Basswood Research,2,no,no,no,no,,+0.6,+0.8,C+,R +0.4,,100%,50%,10.7,7.7,+3.0,,+0.6,+0.0,+0.8,,1,R +13.1,R +0.4,
269,Zimmerman & Associates/Marketing Intelligence,3,no,no,no,no,,+0.6,+0.8,C+,D +0.3,,100%,0%,4.7,5.4,-0.7,,+0.6,+0.1,+0.8,,3,D +3.2,D +0.3,D +0.6
270,ResearchNow,2,no,no,no,no,,+0.8,+0.8,C+,,,100%,50%,9.4,8.3,+1.1,,+0.8,+0.0,+0.8,,0,,,
271,R.L. Repass & Partners,1,no,no,no,no,,+1.2,+0.8,C+,,,100%,100%,11.2,8.8,+2.4,,+1.2,+0.0,+0.8,,0,,,
272,Harvard University,1,no,no,no,no,,+1.2,+0.8,C+,D +0.2,,0%,0%,6.9,5.7,+1.2,,+1.2,+0.0,+0.8,,1,D +6.9,D +0.2,D +1.5
273,Dan Jones & Associates,34,no,no,no,no,,+0.4,+0.8,C+,D +0.9,,97%,18%,7.9,6.0,+1.9,,+0.4,+0.2,+0.8,,30,D +1.8,D +0.9,R +0.2
274,West Virginia Research Center,2,no,no,no,no,,+0.9,+0.8,C+,D +0.4,,50%,0%,6.5,5.3,+1.2,,+0.9,+0.1,+0.8,,2,D +6.5,D +0.4,D +2.8
275,Global Strategy Group,21,no,yes,no,no,,+1.5,+0.8,C+,D +1.9,,67%,24%,7.1,5.8,+1.3,,+1.5,+0.6,+0.8,,21,D +4.7,D +1.9,D +4.3
276,Becker Institute,3,no,no,no,no,,+0.8,+0.8,C+,D +0.7,,67%,67%,7.6,6.0,+1.6,,+0.8,+0.1,+0.8,,3,D +7.6,D +0.7,D +0.8
277,Hamilton Campaigns,8,no,yes,no,no,,+2.6,+0.8,C+,D +1.5,,56%,38%,7.0,5.6,+1.4,,+2.6,+0.6,+0.8,,8,D +7.0,D +1.5,D +6.5
278,TeleResearch Corporation,1,no,no,no,no,,+2.2,+0.8,C+,,,100%,100%,8.6,7.8,+0.8,,+2.2,+0.1,+0.8,,0,,,
279,Roanoke College,12,yes,yes,no,no,,+3.6,+0.8,C+,D +0.3,,75%,58%,9.0,5.9,+3.1,,+3.6,+1.0,+0.8,,9,D +1.3,D +0.3,D +0.7
280,"Normington, Petts & Associates",10,no,no,no,no,,+0.6,+0.8,C+,D +0.7,,60%,40%,6.4,6.2,+0.3,,+0.6,+0.2,+0.8,,10,D +2.7,D +0.7,D +4.4
281,Research America Inc.,2,no,yes,no,no,,+8.2,+0.8,C+,,,100%,50%,20.7,8.1,+12.6,,+8.2,+0.5,+0.8,,0,,,
282,Opinion Consultants,2,no,no,no,no,,+1.4,+0.8,C+,R +0.4,,100%,50%,6.5,5.1,+1.4,,+1.4,+0.1,+0.8,,2,R +6.5,R +0.4,R +5.4
283,Kimball Political Consulting,4,no,yes,no,no,,+4.7,+0.8,C+,R +1.0,,75%,75%,8.1,4.4,+3.7,,+4.7,+0.5,+0.8,,4,R +8.1,R +1.0,R +4.5
